Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct answer #
General Knowledge
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,3
What is the largest planet in our solar system?,Earth,Saturn,Jupiter,Mars,3
Who wrote "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,2
What is the chemical symbol for gold?,Gd,Ag,Au,Go,3
In what year did World War II end?,1943,1945,1947,1950,2
What is the smallest country in the world?,Monaco,Liechtenstein,Vatican City,San Marino,3
What is the human body's largest organ?,Liver,Skin,Brain,Lung,2
Which element has the atomic number 1?,Oxygen,Nitrogen,Helium,Hydrogen,4
Which ocean is the largest?,Atlantic,Arctic,Indian,Pacific,4
Who painted the Mona Lisa?,Vincent Van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,3
Science
What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,2
How many bones are in the adult human body?,206,201,256,198,1
What part of the plant conducts photosynthesis?,Roots,Leaves,Stems,Flowers,2
What planet is known as the Red Planet?,Venus,Jupiter,Mars,Neptune,3
Which is a renewable source of energy?,Coal,Oil,Solar,Natural Gas,3
What type of animal is a Komodo dragon?,Mammal,Reptile,Amphibian,Bird,2
What’s the boiling point of water at sea level?,90°C,80°C,100°C,120°C,3
What is the hardest natural substance?,Iron,Diamond,Quartz,Titanium,2
Which blood type is known as the universal donor?,AB+,O+,O-,A-,3
How many planets are in our solar system?,9,8,7,10,2
History
Who was the first President of the United States?,Thomas Jefferson,Abraham Lincoln,George Washington,John Adams,3
What ancient civilization built the pyramids?,Greeks,Romans,Egyptians,Mayans,3
In what year did the Titanic sink?,1905,1912,1921,1898,2
Who discovered America in 1492?,Vasco da Gama,Christopher Columbus,Ferdinand Magellan,Leif Erikson,2
What wall divided Berlin from 1961 to 1989?,Great Wall,Berlin Wall,Iron Curtain,Cold Wall,2
Which empire was ruled by Julius Caesar?,Greek,Byzantine,Ottoman,Roman,4
Who was the British Prime Minister during WWII?,Tony Blair,Margaret Thatcher,Winston Churchill,Neville Chamberlain,3
Where did the Industrial Revolution begin?,Germany,USA,France,Britain,4
Who was assassinated in Sarajevo in 1914?,Napoleon,Archduke Franz Ferdinand,Joseph Stalin,Adolf Hitler,2
What year did the Berlin Wall fall?,1989,1991,1985,1995,1
Literature/art
Who wrote "1984"?,George Orwell,Aldous Huxley,Ernest Hemingway,J.K. Rowling,1
What is the name of Sherlock Holmes’ assistant?,Watson,Lestrade,Moriarty,Hudson,1
What is the main language of Shakespeare's works?,Latin,Middle English,Early Modern English,French,3
Who painted "The Starry Night"?,Monet,Picasso,Van Gogh,Dali,3
In which novel is the character Atticus Finch?,The Great Gatsby,To Kill a Mockingbird,Of Mice and Men,Catch-22,2
Which author created "The Hobbit"?,J.K. Rowling,J.R.R. Tolkien,C.S. Lewis,George R.R. Martin,2
Who wrote "Pride and Prejudice"?,Charlotte Brontë,Jane Austen,Emily Brontë,Mary Shelley,2
What is the term for a 14-line poem?,Ode,Haiku,Sonnet,Ballad,3
Which of these is a play by Sophocles?,Medea,Antigone,Lysistrata,The Bacchae,2
What art style is Salvador Dalí known for?,Cubism,Surrealism,Impressionism,Realism,2
Technology
What does CPU stand for?,Central Programming Unit,Central Processing Unit,Computer Personal Unit,Control Processing Utility,2
Who founded Microsoft?,Steve Jobs,Bill Gates,Larry Page,Mark Zuckerberg,2
What does HTML stand for?,HyperText Makeup Language,HighText Markup Language,HyperText Markup Language,Hyper Tool Markup Language,3
What is the name of Apple's mobile operating system?,Android,iPhone OS,MacOS,iOS,4
What is the most used search engine?,Bing,Yahoo,Google,DuckDuckGo,3
What does USB stand for?,Universal Serial Bus,Unified System Base,Universal System Binary,User Secure Band,1
What is the term for a malicious software?,Bug,Spam,Malware,Patch,3
What company developed the Android OS?,Apple,Microsoft,Google,Samsung,3
What is the default file extension for a Word document?,.txt,.pdf,.docx,.html,3
What does AI stand for in technology?,Automated Interface,Artificial Intelligence,Analog Internet,Advanced Information,2
